ulasan,sentiment_label
Tidak bisa menonton video nyaaa jadii tolong di perbaiki yaa 🙏🏻🙏🏻 . Soalnya udah bayar perbulan jadinya sayang bangett,negative
Tolak lgbt🚫,negative
mudah digunakan,positive
"Jadi kurang baik. Terkadang setiap putar film baik di web atau aplikasi, audionya suka berubah-ubah. Sudah hampir 2 tahun tapi tetap seperti ini. Malah sekarang websitenya suka loading parah, dengan jaringan internet yang kencang. Semoga segera diperbaiki!",positive
"Minta kode verifikasi tapi yg ngirim kok namany Melati, Priscil dll lewat WA, aneh. Saya jadi nggak bisa mau akses disney + hotstar.",negative
"lambat pengiriman kode OTP nya, bbrpa kali coba ttp gak di kirim, Yg bener dong",positive
🤮🤮🤮,positive
"14 februari bug, terjadi kesalahan aplikasi angel dibuka",negative
"Tahun ke-2 berlangganan...setelah update Sy malah tidak bisa masuk ke aplikasinya...akhirnya Sy instal ulang aplikasinya melalui playstore...tapi sampai saat ini, belum bisa masuk ke aplikasinya...setelah klik ""lanjutkan"" ada tulisan ""maaf terjadi kesalahan, harap coba beberapa saat lagi""...namun sampai sekarang masih belum bisa juga...hal ini juga sama terjadi di Android TV Sy...bagaimana solusinya...? tks",positive
"Apps sampah, resend code berkali kali gak masuk payah",positive
Gangguan gk bisa bayar pakai dana,negative
Mantap nih apl... Bisa digunakan dengan paket Freedom U dan Freedom Internet dari IM3 serta pembayarannya sangat gampang banget. Thank you ☺️☺️,positive
"Sementara 3 dulu, streamingnya sih lancar tapi tiap minta kode otp kok pakai wa pribadi ya sekelas disney . Semoga kedepannya berbenah lebih baik",positive
kenapa sayan udah belangganan di by.u tapi di sini nya harus berbayar lagi !,negative
film Nya keren semua,positive
"Tolong YA!, Saya sudah top up 50rb di google play, tapi pada saat saya ingin beli premium nya yg seharga 39rb an (belum pajak) saldo nya gada, tapi di google play store nya ada saldo nya, tolong YA perbaikiiiii! Saya jadi tidak jadi untuk nonton padahal saya sudah janjian sama teman tapi malah ini yg terjadi SANGAT MALASINNNN!!!!!!",positive
dapat kupon dari telkomsel redeem koin disney mau login gk dapat2 kode otpnya lol ah,positive
Saya mau bayar langganan knp gagal terus,negative
Saya suka filmnya. Tapi bagaimana cara mengaplikasikan ke TV android. Sy masih bingung caranya masukin akun saya untuk bisa nonton disney di TV. Sarannya please. Sy buka websitenya bingung suruh masukin kode..,positive
Aplikasinya macet2 di tv. Abis macet2 tiba2 keluar sendiri aplikasinya. Dan itu udh terjadi 2 ini. Padahal kemarin2 bagus2 aja. Padahal udh di update.,positive
"Tolong di buat ringan seperti youtube, video2 anda harus selalu memerlukan sinyal yang kuat, sistem anda tidak optimal. Bagaimana bisa 480p disini setara 240p di youtube? Rasanya percuma memiliki banyak film didalamnya jika sistem dari aplikasinya sangat busuk",negative
Saya kurangi bintangnya di karenakan kok aplikasinya error terus tidak bisa aktif padahal saya mau berlangganan,negative
"Semenjak isi survei jadi sering freze, film2 nya gak bisa diputar",negative
Chanel tv indonesia nya kosong,negative
Good,positive
"Belum sepenuhnya mendukung smart TV Samsung tipe UA55MU7000, tidak seperti Netflix, Iqiy, prime video dan banyak lainnya yang sudah mendukung",negative
Aku baru download semoga bagus aminnn,positive
Timor Mutis Artifacts,positive
Kenapa aku kasih bintang 1 karena ini bayar di mohn untuk geratisssss,positive
"Wah saya sangat kecewa, saya sudah membayar biaya langganan selama 1 tahun, saya cuman bisa menonton beberapa kali saja. Dan sekarang setiap buka film yang mau saya tonton selalu error dan tutup aplikasi nya sendiri. Hal ini sudah saya laporkan melalui email ke contak service dan sudah 1 bulan tidak ada email balasan dan tindak lanjutnya, dan saya mau tlpon pun binggung harus menggadu kemana. Saya iklaskan saja biaya langganan 1 tahun yang sudah kami bayar. Ini pelajaran untuk temen2 yang lain",negative
"Susah banget mau terhubung ke smart TV, malah gk bisa. Jadi aku hapus aplikasi nya di TV. Untung belum langganan",positive
"It seems u're not paying attention, okay, 1 ⭐ only for u. Please, add a pin lock for mature content. It's too easy (even for my 5 yo kid) to turn off the kids safe mode (on my android tv). Is it so hard for u guys to add this feature? Or are u guys really lack of programing skill and u can't even add a pin lock for this app? Dun make me laugh...",positive
mohon infonya gratis 1 bulan tukar 10 poin. mohon diinfokan yang gratis apanya ya. maklum br dwld🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive
Awesome,positive
"Tolong update agar navigasi menu film, agar tidak harus menggunakan mouse tv televisi. Agar lebih mudah memilih film",positive
"Kenapa sekarang disney hrs berlangganan sih, lbh bagus yg dulu bisa bebas nonton apa aja dgn paket data",positive
Mantap d hotstar,positive
Banyak film yang bagus terutama marvel. Aku suka,positive
Good,positive
"Bagus sih , cuman tolong untuk samsung TV ada aplikasi disney+ hotstarnya . Atau bisa nonton lewat share bluetooth ke TV Tizen.",positive
"Aplikasi parah,,udah berlangganan 199rb/year,tapi masih belum bisa nonton,malah di suruh berlangganan lagi..parah!!!",negative
"Dapat notifikasi laganan diberhentikan, tapi kemarin saldo gopay kepotong otomatis untuk aplikasi ini, yang bikin aneh aplikasi tidak bisa diakses, disuruh bayar lagi, aneh emang.",negative
"ga worth it! kualitas video burik pdhl udh full hd(sinyal lancar), sering ngefreeze",negative
Seru!!!,positive
"Baguss banyak kartun yg ku suka, tapi masih banyak bug salah satunya resolusi tiba² gabisa di ganti & gabisa pake fitur PIP",positive
"Aplikasi tidak dapat dibuka, force close",positive
Kasih 5 langsung aja,positive
Yang penting pasti tidak geratis vilemya,positive
Sering eror bikin bad mood,negative
Good,positive
Bagus 😇,positive
"Aplikasi nya sudah bagus, cuma yang saya gak suka kalo berlangganan pasti mahal, jadi saya ingin merekam video yang saya tonton supaya saya bisa menonton nya terus menerus tapi tidak bisa, tolong kebijakan privasi nya di ubah",positive
"Website nya benahin lagi karna super duper lemot makan ram banyak banget cuma sekedar web disney ampe makan cache segitunya, dan Tolong bisa merubah tampilan dan ukuran subtitle karna saya lebih suka subtitle warna kuning jadi lebih baik bisa di custom sendiri oleh pengguna",positive
Good,positive
AKU SUKA SKL APLIKASI HOTSTAR KRN TDK BUG YG MENGANGU 😗😗🖒🖒,positive
Subtitle nya kecil bgt gak kebaca dan juga ada bbrapa series atau film yg pilihan nya cuma di dubbing atau bhasa inggris tanpa subtitle ugh itu tuh agak gimana gtu kenapa gk kasih subtitle aja dripada di dubbing trs tolong tambahin fitur percepat video untuk menghemat waktu soalnya nnton film 30 menit beres nya 2 jam:( #edit seriusan disney+ klo nambahin fitur percepat ku pasti dah sering make sih:((,positive
Iya benar,positive
"Saya coba masuk melalu handphone, tapi setelah saya mau login, kode verifikasi tidak masuk, padahal nomor sudah benar.",positive
Gak bisa di buka sama sekali,positive
Filmnya bagus-bagus.,positive
Ok,positive
Tidak bisa login di android TV +62,positive
Film terendat sendat dan beberapa tidak bisa di download,negative
Fast & Furious complete pleaseeeeeeeeeeeeee,negative
Saya suruh upgrade apa ?,positive
"Saya udah berminggu-minggu mau lihat series/film nggak bisa sama sekali. Selalu ngefreeze lalu not responding. Sudah kirim email, diminta kirimkan data untuk cek lebih lanjut, sudah saya kirimkan tapi sampai sekarang tidak ada balasan dan masih tetap tidak bisa menonton, apapun, bahkan trailer.",negative
"Tolong film nya di kasih, hulk 2008, spiderman tobey maguire, jurassic park dan masih banyak lagi",positive
Sdh langganan tapi waktu nonton ngefreze langsung hp terrestart,negative
Buruk banget gak bisa nonton haru VIP dulu baru bisa buruk banget,negative
Minta kode verivikasi tapi kenapa gak di kirim-kirimkan ya. 😭😭,negative
"Good oke cool but masih ada yg kurang, kenapa film yang saya sukai dan saya cari kok gak ada yah, tolong di kompliti lagi donk biar makin keren,biar nga bikin kecewa,, thanks 🙏🙏🙏🙏🙏",positive
"Halo kakak, mohon maaf saya ingin bertanya apakah aplikasi disner+hostar berbayar?",positive
Suka eror... Mau nonton malah kembali ke halaman utama . GK jelas,negative
Kurangnya cuma suka tiba tiba jadi burik aja padahal udah FHD,positive
Bagus,positive
Lebih bagus lagi kalau gratis ':v,positive
"Sampah asli nonton di Tv harus login terus, log in juga ngak se mudah HBO asia, masuk ke situs, sekali masuk eh disuruh berlangganan, padahal akun masih berlangganan sampai agustus 2023, tiap login diarah ke pembelian",negative
Sayang sekali Aplikasi ini Tidak bisa berlangganan menggunakan shopee pay dan Dana sudah saya coba berkali-kali tetap eror. Mohon di perbaiki lagi bug nya terimakasih🙏🙏,negative
Kok saya gak bisa log in ke tv?,positive
Buruk,negative
Kecewa tidak bisa diputar di tablet,negative
Sangat bermasalah mulai dari video sampai login saja sulit padahal sudah di instal ulang tapi tetap tidak bisa putar video nya. Sangat kecewa padahal sudah bayar langganan 1 tahun,negative
"Udah 2 hari ga bisa play film, eror trus loading aja padahal jaringan oke, ga beres server nya",negative
The mario movie is out soon in hostar,positive
Gadak enak nya ni aplikasi,negative
Knp premium sendiri ngambil uang di shopepay? Padahal uang nya mau di pake buat yg lain gmn cara ngembaliin nya?,positive
Kirain bakal komplit semua film Marvel. Ternyata cuman seriesnya aja. Skip,positive
Jelek,negative
"Saya udah beli paket sebulan via pulsa, tapi di aplikasi no.hp saya tetap disuruh berlangganan",positive
"bagus, cuma film nya kurang update. horor kurang lengkap",negative
Layar hitam padahal sudah langganan,positive
"Udah berlangganan tapi sayang kalo pas lagi nonton tiba tiba hp ngebleng cuma loading doang udah gitu malah hp sy ikutan mati padahal filmnya bagus bagus, tolong diperhatikan lagi yaa kualitasnya sayang banget sih padahal baru berlangganan karna pengen nnton konser bts tapi malah mati ditengah jalan mau nnton lagi jadi trauma soalnya udah 3x begituu 😤😤",negative
"Kenapa yaa kok aplikasinya gak bisa di buka di hp maupun tv saya , padahal koneksi internet juga ada",positive
"Hehe iseng""instal gua kira gratis ternyata harus bayar jdi di uninstal lgi wkwkwk",positive
"semua film pas diputar tidak berjalan, berlaku semua video, udah uninstal dan instal ulang masih tetep muter2 video nya",positive
"Apa"" sekarang dipersusah mau nonton ini itu harus langganan hadeehhh",negative
"Belum pernah coba... tp saya mau tanya, klo saya tinggal di Indonesia dan mau streaming drama dr negara lain seperti Malaysia, Singapoer, bagaimana caranya?? Karena saya sudah mengunduh aplikasinya td dan coba mencari judul dramanya tidak keluar",positive
"Min, mau tanya kode otp dikirim dari sms oleh disneyplus atau nomor telepon biasa? Saya ingin login akun tp dapat kode otp dr nomor biasa terus. Mohon infonya.",positive
Bang Alok anime harus kebanyakan dong seperti Netflix,positive
Woy kembalikan hostar yg dulu sekarang harus bayar kalo mau nonton 200k emg uang gw cukup apa👎👎🤬🤬🤬🤬😡😡😡😡😡🤬😡,positive
"Loading parah padahal jaringan lancar"" saja, coba steaming lain ya lancar, coba buka disney bug/lag/loading lama",negative
Ko punyaku akun nya gabisa dibuka eror terus yaa?,positive
"Saya pelanggan setia, tapi sudah 2 bulan ini setiap awal langganan kenapa buffer terus filmnya. Nggak mau nge buka filmnya.",positive
"This far, all perfect",positive
Film terupdate nya lama sekali .,positive
Saya sudah daftarin paket Disney+hostar di my Telkomsel tapi malah di pakai paket internet biasa yg di pake dan paket Disney+hotstar nya tetap utuh...kok bisa gitu?,positive
Harus beli,positive
Kirain gratis,positive
Pembelian paket sdh ga pk telkomsel...terpaksa di hapus aplikasinya..pdhl udh lm langganan,positive
Sudah berlangganan disney+ tapi malah filmnya tidak bisa di putar karena aplikasi gangguan,negative
Aku suka aplikasi film sinetron ini,positive
Halo Saya Senang Menngunakan Aplikasi Ini Tetapi Kenapa Harus Berlangganan? Jika Harus berlangganan kemungkinan Aplikasi Ini Banyak Yang Di Hapus Oleh Pengguna Lain Karena mereka mungkin mereka protes Gara - gara Harus Berlanganan Jadi Saya Ingin Menanyakan Kenapa harus Berlagganan?,positive
Lama bamget aplikasiinya menurutku bagus tapi lama untuk menginstal,positive
"Sering nge freeze ini apknya, grafiknya juga blur blur pdhl jaringan lancar"" Saja, sy udh langganan 1 tahun kn sayang :(",positive
Bagaimana cara berhenti berlangganan padahal aplikasinya sudah saya hapus,positive
Buat nonton suka lag lag/kualitas jdi burik padahal udah sinyal bagus,positive
Jarang ada film baru.,negative
"Bang, gk ada niatan ngasih Spongebob?",negative
👍,positive
"Kenapa pas mau berlangganan kok tidak bisa terus, Sudh top up goggle play lewat virtual account jug gabisa. Padahal sinyal bagus",positive
"Buffering teros, udah terlanjur langganan, kirain jaringan ternyata emang appnya, netfil lancar kk bisa ini buffering",positive
"Cuman mau bilang aja si bang,,,,,bnyak orng yng kepngn nonton diapk in,...tpi ya ngak semua orng bisa bayar atau berlanganan..smua orng pgn nonton film yg mrka suka...tpi ngak ad ksmpatan yg bisa buat mrka nonton film ksukaan mrka,..sprti adik saya,..mau nntn film ejenali,....tpi saye orng yg tah punya ap²......seandainya saja hostar bisa kasih berlangganan scara gratis,adik saya psti senang.....ysudh terimakasih....",positive
Aplikasinya sangat ramah,positive
"Kenapa mesti bayar, nak nonton ejen ali musim 3 mesti login, budak macam saya mana ada duit. isssh sekali sekali bagilah kita nonton gratis sedekah tau",positive
bagus cuman keknya masih kurang banyak filmnya,positive
Fkem mendua kok belum tayang episode 8?,positive
Resolusi gambar yang di tawarkan terlalu tinggi terus klo film nya berhenti gak bisa jalan lagi tolong di perbaruhi lagi,negative
Agak kecewa saya sudah berlangganan per 1 tahun kenapa masih ada potongan perbulan??,negative
"Aplikasi ini seru saya suka, tetapi mengapa film Indian yeh hai Mohabbatein di hapus?🥺",positive
Huhff di update malah jd ga bisa dan tulisna nya terjadi kesalahan terus👎,negative
Kok ga bisa nonton di disney tv ya ?? Keterangannya terjadi kesalahan memutar konten ini karena layanan media tidak tersedia pada perangkat anda. Mohon solusinya,positive
Kenapa dolby atmos di hp poco f3 gak bisa kluar suaranya,positive
Malah gangun terus 2 hari ini. Dak ada yang bisa di play,negative
Udah setel resolusi bagus masi aja blur suka ngeleg2 kagak jelas ni aplikasi mending netvlik sumpah,positive
Maaf nih ya masa sebelumnya saya pernah login pake nomor saya trs kode dikirim Disney+ tp waktu saya login lg kok kode otp saya dikirim pake nomor biasa dn dikirim berulang kali dengan nomor yg berbeda tp kode otp sama. Dn karena itu bkn dr resmi Disney+ jd ga saya masukin kode otpny tp jdny saya ga bisa login dong,positive
Good,positive
"Sedian fitur download ke kartu sd dong minn, masa harus ke internal mulu pas download film",positive
"So far,like this app... Harga bersaing... Nice... Keep it👍",positive
"Kecewa sudah berlangganan tapi tidak bisa ditonton film pilihannya koneksi loadingnya lama, padahal sudah pakai WiFi di TV digital,berbeda dengan aplikasi Video koneksinya stabil dan lancar² saja.",positive
Habis di update malah gak bisa di tonton di dua perangkat.harus matikan 1 perangkat baru bisa nonton.lebih enak vidio & Netflix,positive
APA APAAN INI?? SAYA KENAPA TIDAK BISA MENONTON??? SAYA SUDAH MENUNGGU TAPI VIDEONYA TIDAK MEMUAT. DISNEY HOTSTAR TOLONG PERBAIKI INI!!,positive
"Baru mau nyoba,mau tanya ini kan langganan itu otomatis gratis nonton ya atau pakai internet lagi/pakai Kouta lagi?",positive
"Ngasi saran dikit, Mau nya setiap film ada flayer yang bisa di share, kayak aplikasi sebelah wkwkwk",positive
"Update bukannya jadi bagus, malah ampas",positive
Aplikasinya sangat bagus saya senang menggunakan aplikasi ini karna lebih mudah untuk mencari vidio keaukaan saya untuk di tonton,positive
Metode pembayarannya kurang lengkap.. gw niatnya mau beli paket yang 1 bulan pake pulsa axis pas udah kebeli pulsanya malah tidak tersedia,positive
Di beberapa film sering ngefreez dan juga bugnya parah bgt tapi untuk harga bersahabat,positive
Kenapa sih harus bayar dulu kukira gratis,positive
nice,positive
Apa ini saya mau nonton Disney hotstar di hape malah ke Disney bundle plis tolong di baiki,positive
Mau nonton film live streaming bayar babi,negative
Udah tukar poin di Telkomsel tapi pas login belum berlangganan 💩💩💩,positive
"Makin update makin rusakkk, masa gak bisa nonton apa apa, cuman muter muter doang padahal sinyal lancar",negative
Apk ya bagus good,positive
"Hay,aku kasih bintang 5",positive
"Kenapa Disney gak bisa dibuka ya,sya udah beli paket buat nonton Disney tapi selalu gagal terus, jawabannya selalu something wrong please try again later,,menyebalkan",negative
Very Good....👍👍👍,positive
Tolong dong movies terbarunya.seperti miraculaus ladybug sesion 5 belum ada,positive
Banyak bug dan selalu berlangganan otomatis tanpa persetujuan,negative
Tes dulu ya bossku,positive
Semua flim ada jadi senang apkny bagus banget,positive
This streaming app is very cool,positive
Man tapi ada yg kurang gratis dong awokawok,negative
"Masih bnyk kekurangan, Misalnya: ""Tombol Pause Download"" ""Pengaturan Download Seperti Wifi & Data"" Percuma saja klo mau Download Nggk Bisa Di Pause, breeeekkkkk Masih Kurang Lah, ""MASIH BELUM JADI REKOMENDASI"" mending Pake APK LOK LOK",positive
"Dari kmrin kok gak bisa d download di Xiaomi pad 5 saya,ada apa y?????",negative
"Min coba kasi event premium gratis sekali""😁😁",positive
awesome,positive
Aplikasinya sudah bagus hanya saja subtitle bahasa Indonesia di Frozen tidak ada,positive
Bagus kok,positive
Gg,positive
Katanya film bumilangit yang udah tayang dibioskop ada di disney hotstar ga adapun. Lalu bisa tidak sistemnya diubah pulsa saya otomatis kesedot begitu ada untuk langganan hotstar padahal sedang tidak mau,negative
"Terlalu banyak LGBT content Sorry banget tapi gak cocok untuk penonton indonesia, harus hati2 cari series nya, bahkan drama korea nya aja ada yg mengandung pelangi nya duh",positive
"Kok sekarang gak ada pemberitahuan bahwa film atau series yg kita download bakal expired. Biasanya kalau kita tekan titik 3 disamping Vidio. Diatas ""delete from download"" ada tulisan expired for 3 days. Tapi sekarang gak ad. Giliran film nya mau ditonton gak bisa keputar. Tolong diperbaiki lagi. Kembalikan ke setting awal. Karena saya biasanya nonton video yg di download tunggu pemberitahuan bahwa Vidio itu mau expired",negative
"Saya pikir sudah berlangannan berbayar tidak makan kuota lagi, tapi koleksi film nya bagus",positive
mohon bisa ditambahkan fitur download film ke memori external seperti YouTube walaupun di enkripsi tpi tetap bisa di download ke memori eksternal apa lagi file ekstensinya sama sama .exo harusnya bisa,positive
"The Secret Life of The American Teenager, saya request film ini. Tolong di dengarkan ya, terimakasih!",positive
Kenapa unduhan keriset sendiri.,positive
"Animasi buatan Disney kenapa harus ada adekan LGBT, ini kan film anak anak tapi ada adekan LGBT ga pentes banget bikin enek.",negative
bagus,positive
Something went wrong terus..,negative
"Kenapa season 3 nya THE OWL HOUSE belum ada, seharus nya sudah ada dari tanggal 15 Oktober 2022 , tapi kenapa di Disney+hostar belum ada mohon, penjelasan nya",positive
Masa iya udah berlangganan tetep aja ada iklannya. Gimana sih,positive
Seru,positive
Ini kenapa ya kok setelah update versinya dihp pas dipilih film langsung keclose aplikasinya ya ga pernah bisa masuk dan mesti nonton dipc atau laptop baru bisa kebuka filenya tolong diperbaiki lagi ya min aplikasinya terimakasih,positive
kok saya ga bisa unduh ini ya,positive
"Harganya ga sesuai film"" yg didalemnya ga update",positive
Jempol dah Abis,positive
Lap sih gk bisa nonton disuruh bayar terus premium padahal bisa bhs inggris,negative
"Setelah update kenapa tidak bisa login lagi? Setiap login selalu ""akun telah keluar silahkan masuk kembali"" gitu aja terus",positive
Ini knapa si apk slalu loading mulu mau nonton jaringan bagus padahal. Tolong deh di perhatiin lgi pembaruannya,positive
"Aplikasi sampah ,cuma mau screenshot moment² aja gak bisa",positive
Tertulis di paket hallo + gratis berlangganan disney TAPI BO-OOOOOONG wkwkwk.. Udah login sesuai anjuran Nyatanya kuota utama habis bis bis.. Goodbye..,positive
"Tolong di perbaiki settingan nya, udah saya ganti ke FULL HD tapi gambar nya masih pecah-pecah, suara dari subtitle nya putus-putus",negative
kenapa kalo sambil telponan filmnya tidak bisa diplay-__- tapi kalo telponnya dimatiin filmnya bisa diplay,positive
Film kurang banyak,positive
Belumbisamemutar.,negative
"Mohon untuk pemutaran video sering buffering, padahal jaringan sudah kencang",positive
Terlali sering ngelag nya..berbeda dgn aplikasi streaming lain...,positive
Nice,positive
Dh gakuat diandroid 4 tapi masih bisa didownload,negative
Adaaa tokrev,positive
"Ini konsep nya gimana ya, video unduhan kok tidak bisa di putar di saat koneksi internet tidak ada ataupun koneksi internet tidak stabil. Tolong di perbaiki bug nya, ini sungguh mengganggu!!! Terima Kasih.",negative
"Walau jaringan bagus, tetap buffering. Kalau buka netflix atau youtube bgus aja kok. Buka disney lemot bgt. Gak nyaman buat nontonnya. Nonton di disney bukannya senang malah emosi. Definisi sakitnya di disney 😭 Tolong dong di upgrade aplikasinya. Kalau bgini kan saya yg rugi langganan tpi malas pakai karena lemot. Untung aja ini gratis karena langganan by. U unlimited sebulan. Btw, makasih By. U. 😊 Kalau berbayar mah bakalan ngamuk aku, minimal memaki lah. Dasar produk liberalis. 😭",positive
Kenapa aku masih nggak bisa berlangganan yg sebulan? Padahal pulsa ku 40k kenapa masih nggak bisa berlangganan? Tolong lah di bantu saya udah beli pulsa malah nggak guna,positive
"Mau log in gabisa, tlong dibenerin ya",negative
"Oke, aplikasi bgs",positive
Bakal langganan lagi kalau ada eps baru sofia the first😭😭,negative
Bagus tp msh Ora lengkap semua film2 nya mnurut gua mah ..,positive
"Awal daftar baik² aja, baru beberapa bulan kok malah disuruh restart aplikasi. Setelah itu aplikasinya malah ada di server india, gimana cara ngatsinnya?",positive
Suka blackscreen ga jelas percuma langganam 👎👎,positive
"Belum sebulan langganan tapi sudah error drm, pl 1206 Sudah log out log in dan instal ulang ttep tidak bisa nonton, bagaimana ini tolong dibantu, sudah kirim komplin lewat email jg blm ada respon",positive
Ini sangatbagus,positive
Aku suka film disini keren,positive
"Sudah pakai. Cuma karna di reset. Gak bisa login lagi. Padahal nomor hp masih yg sama -,-",positive
Aplikasi nya bagus akutuh mendownload aplikasi ini untuk menonton ejen ali,positive
Telkomsel bohong katanya dapat langganan Disney+ holdstar selama sebulan tapi tidak bisa dibuka dan diminta lagi untuk langganan berbayar,negative
"Kekurangan nya cuma satu, kenapa tidak bisa di screenshot?, Padahal udah beli langganan mahal-mahal tapi tidak bisa di screenshot, Rugi Banget.",negative
Filmnya cepat di tambah dong,positive
ini jdi banyak ngebug ny sya udh download film Frozen 2 tpi tidak bisa di tonton loading trus pdhal jaringan sya bgus sja dan udh berbayar,positive
Bagus banget,positive
Film kurang komplit,positive
Kasih 5 bintang karena ada video docomenter super junior,positive
Utk aplikasi nya sdh bagus dah lengkap mantap,positive
"Semua drama series nya cuma sampe 16eps, kecewa sebelum nya lengkap",negative
Botak konntol,negative
"aku nonton, tp kaya nge lag gt berhenti gabisa lanjut, bisanya waktu aku skip 10 detik baru bisa lanjut lagi, dan dalam sekali nonton bisa berkali kali kaya gt, jadi ga nyaman nonton karna ke skip skip, padahal jaringan bagus bgt",positive
"Baguss, tapi saran aja adain kaya setting buat liat device nya gtuu. Jdi tau siapa aj yg login, kalau ada orang lain login bisa Dilogout in.",positive
"Aplikasinya bagus cuman sayang ga ada smart tv yg app store os tyzen, saran sy nextnya tambahkan di os tyzen dunk soalnya kalau berjalan di internet browser freeze terus",negative
"Ini knp ya awalnya lancar2 aja waktu brlangganan perbulan., sudah berlangganan untuk satu tahun ko malah pake WiFi d rumah gk bisa d buka..?? Tolong perbaiki..",negative
"Loading mulu, heran, ga ada tampilannya",negative
"Tambahin animenya donk,, overall udh bagus",positive
Cara berlangganan pake telkomsel yang 20k gimana ??,positive
The Walt Disney Company (SouthEast Asia) PTE LTD is the best,positive
"subtitelnya terlalu kecil utk pengguna smartphone, harusnya ada opsi utk ukuran subtitel",positive
"Ini kenapa ya saya udah daftar bulanan tapi belum sebulan saya udah harus bayar lagi keanggotaan bulanan,udah 3x bayar loh dalam sebulan",positive
Keren film2 nya,positive
Aku cuman dwn aja si pas dwn liat semua bagus,positive
"Koleksi film ,anime dan series tidak lengkap Kebayakan film2 lawas:(",positive
Mantap,positive
Susah amat dapet kode SMS nya. Bolak balik kirim kode tapi ga masuk masuk. Parah,positive
ga jelas pembaharuan filmnya.. itu itu aja.. hapus aja dari playstore,negative
Km nanyak? Ini baguuusss bingitt tww,positive
Serial Familiy guns nya National Geographic chanel nya kok belum ada?,positive
"Aku suka filmnya, tp aku kok dah ga ada gratis yg beli paketan Telkomsel yaa😩☝🏼",negative
Ok,positive
bagus,positive
B aj,positive
Filmnya jadullllllll gak update,positive
"Sudah 2 tahun berlangganan disney hotstar, sudah sering sekali update aplikasinya di play store, tapi jika masih mencari film yang akan di tonton, tidak bisa mode landscape, jadi harus selalu merubah2 posisi HP untuk mencari film menjadi portrait. Jadinya tidak begitu simple digunakan.",negative
"Gk bisa buat nonton, hanya bisa triler pdhl jangka langanan masih lama 2 feb",positive
Min bagaimana caranya supaya layar tidak mati/redup saat menonton? Tolong balas ya klo masalah selesai saya bintang 5,positive
"Kemarin sempat error aplikasinya nggak bisa di buka tapi untungnya segera ada tanggapan dari pihak disney+hotstar jadi sekarang sudah bisa di buka kembali, untuk kedepannya mohon di perbaiki kembali aplikasinya",positive
Kadang ditenukan bug freeze+ memaksa buar menonton full hd ketika diseting orimatis padahal settingan otomatis justru lebih stabil menyocokan jaringan,positive
Stop lgbt,negative
Tolonglah Disney aplikasinya banyak bug,positive
Autoplay trailernya nggak bisa dimatiin. Cukup mengganggu buat sy apalagi kalau nggak ada wifi,negative
"Bagus sih, cuma beberapa hari ini buffering dan ada kesalahan 1001,,",positive
Ok,positive
"Saya tidak bisa download filmnya tolong lah, gimana caranya?",positive
Woke hiburan lepas lelah dan penat,negative
Saya GK tau ini berbayar atau tidak jika ingin nonton tapi apk nya bagus,positive
Terimakasih,positive
"Cacad, banyak bet noise nya videonya, burik bet kagak sedep dimata, udh bayar juga bisa refund gk sih. 20k ini ge juga duit, seengaknya tingkat kan kualitas videonya udh fhd tetep aja burik kualitas videonya. Aplikasi nya juga banyak bug. Seengaknya buat aplikasi yg niat dong. Perhatikan try errornya sehingga hal2 yg membuat sebuah aplikasi berjalan tidak semestinya dapat diperbaiki. Yg nyampein kaya gini gk satu dua orang doang, seharusnya harus diperbaiki. Atau seengaknya beri klarifikasi tent",positive
Kenapa sih ga bisa muter film yg udah di download padahal udah berlangganan . Bisa tolong jelaskan,positive
Bokep porno Bokep porno,positive
"banyak serial yang gw pengen tapi gaada, seperti fear the walking dead",negative
Bagus banget apk ini tapi kekurangan hanya harga premium tolong di discount,positive
kenapa selalu gagal tiap mau login?,negative
Lebih baik gratis hehehe,positive
Bgus,positive
"gak bisa login, kode verifikasi gak masuk masuk T.T udah coba berkali kali, no. hp udah bener, hp udah direstart, udah minta kode via telpon juga tetep gak bisa. padahal gak ada kendala sama sekali di jaringan tp tetap gak bisa",positive
Film nya banyak dan bagus bagus Thanks for this,positive
"Beberapa film spt Thor love & thunder TIDAK BISA DITONTON, DIDOWNLOAD PUN TETAP TIDAK BISA DITONTON. Aplikasi berbayar tp mutunya kyk sampah !",positive
"Sudah beli paket beranggalan di Telkomsel , ehh malah di aplikasi tidak berlangganan.",positive
Susah untuk dinikmati karena banyak film yang ingin di download prabayar,positive
"1 jam loading sampai detik ini tidak membuka sama sekali,boro2 nonton jngn ngomong gara2 koneksi internet,gua pake indihome bulanan paling MAHAL!!! udah lapor di menu bantuan aplikasi,sama aja bohong nge loading jg sampe skrg 😡😤🤬",negative
napa lu beli tokyo revengers anj,negative
Bisa meng hibur lagi mood,positive
bagua,positive
Sering banget bug frezz padahal udah premier tlong di kondisikan,positive
kode via sms tidak kunjung masuk...,positive
Kenapa nonton nya harus bayar?kan kami nonton menggunakan data dari data kami terhisap kan sudah terbayar saya kasih bintang 1 ingat gak semua orang punya uang,negative
really love this app.🥰,positive
"Muncul kesalahan pemutaran terus, kode error (NL-4000), gimana nih solusinya.",negative
Sangat memuas kan,positive
ok,positive
Kenapa harus bayar mahal,positive
Tapi bayar,negative
